#{"t_start": 1761360662.7164114, "env_id": "None"}
r,l,t
274.73956,583,149.747356
255.5599,481,149.941223
216.98839,725,150.323574
274.87958,583,150.486321
267.71942,615,151.438246
285.64014,585,152.474529
260.8505,421,152.907142
257.9699,507,153.696785
196.3692,497,154.778079
264.2596,577,154.940891
261.03952,647,155.315959
256.9598,497,155.692164
283.44876,791,157.062164
257.72992,501,157.152041
265.64017,583,157.395069
196.29918,497,157.869725
256.94983,497,158.910741
197.33922,505,159.584961
196.84926,499,159.932746
276.74933,713,160.921014
198.53915,519,161.423097
257.23004,497,161.592213
227.35986,497,161.996868
270.32935,643,162.439809
259.0598,519,163.107068
314.09036,457,163.187161
276.31046,483,163.694424
259.56027,519,164.959583
304.0403,457,164.982106
256.98984,497,165.495078
257.38983,501,165.968441
257.14987,497,166.38859
257.04987,497,167.03757
227.80972,507,167.190627
196.3492,497,167.64124
255.08008,473,168.650346
257.71982,505,168.871301
197.12927,501,169.314544
231.38957,547,170.598783
206.8888,613,170.680638
194.45934,473,170.845837
257.13986,497,170.877494
197.26917,507,171.529528
257.44995,497,172.466716
196.33919,497,172.685761
196.31918,497,173.115618
196.28918,497,174.373546
256.99985,497,174.57779
257.44986,501,174.57779
200.11908,537,174.604819
186.35918,497,176.180815
257.68982,505,176.466377
211.34865,661,176.48489
270.1293,643,177.933109
260.88995,537,178.639302
264.9197,583,178.959174
205.94891,599,179.081352
270.38943,643,179.212074
255.13007,473,179.703542
196.3292,497,180.176402
196.59924,497,181.723888
246.38904,711,181.854062
194.7193,477,182.630134
193.98929,471,182.703214
210.99861,659,183.668207
209.18878,635,184.055652
198.92924,521,184.185409
289.92905,747,185.390557
200.00906,537,185.885475
209.18878,635,186.51122
204.68901,585,187.020575
267.46002,603,188.681088
211.90858,669,188.777185
207.92885,621,188.950397
194.39932,473,189.058444
231.32796,881,189.397798
259.60986,521,189.896024
257.25986,499,190.334408
194.41933,473,190.651173
256.98984,497,192.356807
196.55919,499,192.758026
199.93904,537,192.938413
263.5301,563,192.97295
260.77972,537,193.398137
198.55916,519,193.751901
196.49922,497,194.04088
243.30954,567,194.880868
196.51923,497,196.118967
282.8804,553,197.118979
265.18964,583,197.137496
196.67917,501,197.163084
209.0487,637,197.730942
274.84958,583,198.205058
263.7099,567,198.363399
277.79044,497,198.673765
197.12918,505,200.044136
196.3492,497,201.028953
253.92001,569,201.516455
196.3792,497,201.995093
196.66927,497,202.164788
197.26926,503,202.526743
280.10928,749,202.947509
276.02957,703,203.243611
209.01869,637,205.425732
263.7896,571,206.050348
257.68982,505,206.799714
200.13908,537,206.904506
207.56885,617,207.05371
249.10974,521,207.363112
196.42921,497,207.591436
263.7497,567,208.478003
196.76929,497,209.906144
195.5603,473,211.227305
193.6493,467,211.320033
251.23932,651,212.013017
257.74988,503,212.275239
269.14948,627,213.210907
214.71844,701,213.312118
276.76904,717,215.202209
206.1289,601,215.543244
257.95,503,215.99558
196.56924,497,216.553632
257.36993,497,216.78594
210.08875,645,217.132439
257.41992,497,217.72852
210.80872,653,218.985332
308.5606,505,219.59678
200.22911,537,220.228546
260.6197,537,221.255735
257.7002,497,221.493553
263.4099,563,221.716971
274.6693,691,222.065448
260.88,537,222.472599
196.63925,497,223.376954
257.46024,497,223.980052
196.75919,501,224.62261
193.96933,469,226.122154
201.97902,557,226.345017
208.29872,629,226.733855
204.1889,583,226.797937
278.84058,509,227.783045
209.06871,637,227.996475
260.87976,537,228.651676
195.8492,489,228.87703
260.50983,531,230.733795
257.07986,497,231.117238
205.76892,597,231.53602
196.82916,503,232.36506
210.80872,653,232.423311
260.93988,537,232.469201
193.46931,465,232.69451
263.58984,567,233.804198
200.1991,537,235.41252
200.01906,537,235.796227
235.06993,473,236.52756
165.6391,491,236.962757
210.88864,657,237.263386
268.74982,619,237.780797
279.73895,749,239.022792
200.27911,537,240.121365
206.1289,601,241.787593
274.90924,691,241.837164
196.3792,497,242.127714
305.35837,1029,242.809862
274.54926,687,243.019132
248.7998,515,243.543978
281.95944,765,243.99815
267.32944,611,245.479211
194.11931,471,245.945475
196.95923,501,246.251401
204.1889,583,247.224931
203.06906,567,248.479367
212.42865,671,248.869479
216.85895,715,249.082295
204.68898,585,249.111329
199.92905,537,250.699593
279.83905,749,252.086624
212.24866,669,252.159718
97.91851,519,253.072384
213.68861,685,253.278021
195.32939,481,253.335584
211.9986,669,255.067412
215.08853,701,255.119087
257.1999,497,256.555972
211.97859,669,256.60354
258.3499,507,257.77204
257.76987,503,257.794073
210.80872,653,257.857155
203.969,577,258.258151
251.51013,433,258.951996
259.2398,519,259.803327
197.0392,503,261.096972
260.3897,535,261.424219
256.36002,485,262.222862
196.40921,497,262.256405
257.86984,505,262.358943
200.00906,537,263.124655
257.1699,497,263.448858
257.13986,497,264.24159
308.8405,507,265.937631
233.8295,573,266.193466
306.81058,485,266.665735
257.05984,497,266.688262
247.98984,507,266.751868
276.20047,481,267.308587
292.39035,549,268.204621
270.18936,643,269.807032
249.15976,521,270.452294
274.4605,457,270.629133
270.4403,417,270.938583
313.07025,557,271.045223
257.24002,497,271.084769
270.2394,643,272.290116
210.68864,655,273.911752
255.5499,481,274.0208
260.13016,417,274.286776
196.45921,497,274.800912
273.53055,449,274.85097
247.05981,497,275.368332
263.99997,567,276.016868
274.76956,583,277.398665
254.58038,465,278.003434
274.76056,463,278.884786
273.8596,573,279.063293
233.16916,567,279.275704
272.5097,555,279.735105
257.6603,497,279.754126
196.70918,501,280.427225
196.28918,497,282.331398
276.56973,597,282.607604
244.43002,465,283.109914
259.1498,519,283.40598
196.29918,497,283.602427
242.67972,449,283.649481
257.41983,501,284.115943
197.2192,505,284.824372
259.30984,519,287.609209
267.73944,615,287.683309
259.21982,519,287.915916
257.71982,505,287.990496
197.12927,501,288.003013
228.10977,507,288.531716
275.2791,699,288.705633
196.28918,497,289.160953
242.53976,447,291.500735
273.03024,447,291.86708
226.95978,497,292.006429
273.8796,573,292.890802
249.02975,519,293.024865
310.36035,527,293.263994
431.38022,645,293.678842
311.41046,537,293.888732
330.0299,529,296.171061
232.08002,549,296.708391
257.25986,499,297.297826
257.04984,497,297.416496
259.0598,519,297.848584
275.31924,699,298.152253
257.00986,497,298.201307
270.23932,643,299.273354
257.07986,497,301.735712
193.28963,453,302.098485
257.32983,501,302.213622
275.30914,699,302.261681
270.58942,643,302.91121
219.78825,757,303.313869
272.24933,663,303.971479
205.6588,601,304.572635
196.93918,503,306.189796
197.04916,505,306.565979
197.13918,505,306.681135
196.82925,499,307.717799
209.54878,639,307.889996
263.9297,569,307.929044
206.1089,601,309.264451
163.1291,461,310.221495
277.07916,715,310.801152
196.52924,497,312.251068
211.64862,665,312.360115
210.98871,655,312.388644
266.0896,593,312.883361
204.86896,587,313.005
195.50934,483,314.412372
209.0787,637,314.816952
254.82047,465,314.839979
196.52919,499,316.609368
259.33978,521,316.90571
263.3496,567,317.33033
196.35919,497,317.341339
244.33005,465,318.510397
214.04858,689,318.918501
248.13992,505,319.261456
197.04916,505,319.285498
200.05907,537,321.615813
196.49918,499,321.723691
200.00906,537,322.043046
275.08923,693,322.666725
196.29918,497,323.238771
277.63037,497,323.594758
207.91885,621,323.899786
246.55988,491,326.00192
283.46878,791,326.159218
261.05005,537,326.302938
196.31918,497,326.394116
260.98013,533,327.340908
260.2098,529,327.879471
257.38992,497,327.959128
199.90904,537,328.609019
176.26913,497,330.320668
227.76973,507,330.784647
251.23953,539,330.849238
277.6404,497,331.665341
281.57898,765,332.967109
197.01915,505,333.004664
191.46858,663,333.697449
287.97903,729,334.353047
255.91989,485,335.133523
259.0798,519,335.373881
317.24014,603,335.644907
196.47917,499,337.351662
199.95905,537,337.72466
256.96985,497,338.023548
221.94817,781,338.546427
258.44028,505,338.783772
263.89017,457,339.146583
257.7602,499,339.750337
251.66968,547,340.436108
300.53052,417,341.033889
257.39993,497,342.078655
259.24982,519,342.569542
196.69926,497,342.866824
306.78058,485,343.001007
257.52988,501,343.503978
324.79053,573,344.777416
257.46033,497,344.807957
276.12045,481,346.79545
211.40866,661,346.815616
314.9403,573,347.11253
234.81941,585,348.010585
273.8696,573,348.043125
233.17915,567,348.494309
163.24922,463,348.817284
312.30026,549,349.645582
298.64993,513,351.320907
231.33966,545,351.617561
299.23038,515,351.657603
228.74976,517,352.57471
241.3099,539,352.741533
319.9098,529,353.501472
419.4503,625,354.013841
230.93967,541,354.384886
309.98007,523,355.90114
241.44003,539,356.334718
274.1504,457,356.590916
278.14008,503,357.154493
270.67987,643,357.279457
304.9997,583,358.551426
249.7898,527,358.942902
270.4296,643,359.582261
312.30026,549,360.685003
213.67941,573,362.150497
189.82904,643,362.194664
217.30882,725,362.660784
266.96982,497,362.905244
295.54932,697,363.365565
139.60898,531,363.592365
272.5592,667,365.40049
242.06006,549,365.455054
139.60898,531,366.846843
272.04965,553,366.999029
218.98962,521,367.226914
139.60898,531,367.557856
139.60898,531,368.004859
230.82942,539,368.321787
279.7203,521,369.970458
858.8485,621,370.885264
217.35934,503,371.353665
310.0601,523,371.386216
257.74985,505,371.608866
233.2592,567,372.468044
428.54034,615,373.33975
256.98984,497,374.282152
217.29881,725,374.592081
304.52078,457,374.857041
257.09988,497,375.690074
227.76973,507,375.752407
277.57037,497,375.960758
257.07993,497,376.895223
209.01869,637,379.010425
259.79974,527,379.57197
316.95007,597,379.611531
270.16934,643,380.345229
196.33919,497,380.39934
267.24942,611,381.234549
200.27911,537,381.619117
290.9989,763,382.570785
197.19914,507,383.516502
200.10909,537,384.334447
234.79941,585,384.79127
200.09908,537,385.089538
257.19003,497,386.00163
261.6297,547,386.057691
270.27936,643,386.057691
257.10986,497,387.824423
272.14932,663,388.322697
260.7098,537,389.000113
257.03986,497,389.108779
256.97983,497,389.405166
257.21985,499,390.402032
