#{"t_start": 1761458878.682981, "env_id": "None"}
r,l,t
-4.1999984,220,25.574513
-2.8399997,84,25.615544
-2.8599997,86,25.625553
-2.4599984,246,25.644569
-5.5299973,353,26.052927
-2.58,58,26.235613
-2.9499996,95,26.575761
-2.48,48,26.724573
-4.2599983,226,26.919912
-3.2999992,130,26.948449
-2.9399996,94,27.899662
-4.3499985,235,27.957713
-1.5199989,152,28.118403
-3.539999,154,28.283817
-3.2799976,328,28.646799
0.020001402,198,28.925943
-4.889998,289,28.985992
-2.8899996,89,29.024613
-3.2099993,121,29.124732
-2.2,20,29.18591
-2.3500001,35,29.277022
-6.940018,494,29.503694
-2.6599998,66,29.743787
-2.59,59,29.774816
-2.8999996,90,30.198096
-2.2299988,223,30.320677
-0.38999963,39,30.730844
-2.7599998,76,30.988706
-3.9499986,195,31.557854
-5.239998,324,31.683125
-4.459998,246,32.325197
-2.7399998,74,32.431843
-2.9199996,92,32.48004
-3.6899989,169,32.703007
-5.029998,303,32.886946
-4.1099973,411,32.937011
-0.8999995,90,33.836297
-4.5599966,456,34.012989
-4.0699987,207,34.538807
-3.1099994,111,35.137984
-4.389997,439,35.176237
-5.159998,316,35.782447
-4.819998,282,35.836011
-2.6699998,67,35.916081
-1.7699987,177,36.450055
-3.2699993,127,36.6054
-4.119997,412,36.647443
-5.039998,304,37.074972
-3.1099994,111,37.095494
-2.2800002,28,37.375782
-4.5699964,457,37.473459
-4.009999,201,37.883453
-3.7999988,180,38.314645
-2.9199996,92,38.323656
-2.4699981,247,38.407177
-2.0900002,9,38.418185
-3.9199986,192,38.587294
-2.55,55,38.989053
-2.6799998,68,39.111409
-2.52,52,39.122423
-3.9699986,197,39.516559
-2.13,13,39.648446
-3.059998,306,39.800634
-3.6899989,169,40.056487
-3.0399995,104,40.186428
-3.509999,151,40.550698
-4.639998,264,40.611671
-2.47,47,41.113764
-2.1399984,214,41.392621
-2.8299997,83,41.470781
-2.17,17,41.65339
-1.6699988,167,42.010423
-2.1899989,219,42.010423
-4.1399984,214,42.384082
-3.519999,152,42.779245
-4.009999,201,43.631759
-3.499999,150,43.684318
-3.489999,149,44.033795
-3.9599986,196,44.148907
-2.48,48,44.168741
-4.5699983,257,44.458493
-4.3999963,440,44.569437
-2.3999987,240,50.414249
-3.449999,145,50.575911
-2.8999996,90,51.4893
-2.169999,217,51.836992
-9.890083,989,52.51349
-2.8499997,85,52.702735
-7.060021,506,53.828161
-3.559999,156,54.262507
-3.1100037,511,54.398185
-1.1299993,113,54.99833
-2.7699997,77,55.77171
-1.659997,366,56.243966
-2.529998,253,56.952494
-3.500013,550,57.203823
-2.24,24,57.223344
-3.7099988,171,58.102816
-9.760082,776,58.428391
-3.1799994,118,58.428391
-11.200115,920,58.724552
-2.2299967,423,58.857574
-1.1599993,116,59.329854
-2.1299984,213,59.422557
-11.690126,969,59.555933
-2.8199997,82,59.743722
-6.450007,445,60.50776
-4.2599983,226,60.805567
-1.6599987,166,61.147018
-3.509999,151,62.08761
-2.3999987,240,62.268074
-5.339998,334,65.063048
-7.8300385,583,65.283361
-5.7299957,573,66.08313
-9.1600685,716,66.569828
-3.8699987,187,67.348342
-3.1199994,112,67.94244
-4.2499967,425,70.610195
-5.049998,305,71.198253
-5.049998,305,71.78231
-9.39012,939,72.15826
-6.4500375,645,79.921099
-6.059998,406,81.875866
-3.7699988,177,81.974983
-7.550032,555,84.081879
-2.7699997,77,84.954278
-6.21,621,85.199051
-16.790243,1479,85.839406
-6.049998,405,86.455185
-9.310071,931,87.616365
-4.2399983,224,88.107643
-5.6199975,362,89.445635
-3.469999,147,89.855661
-5.8199973,382,94.264616
-3.3200142,732,94.640629
-25.070478,2507,94.82245
-1.5599989,156,96.542072
-15.170206,1317,97.292872
-12.200138,1020,98.362321
-6.810015,481,99.490766
-3.1299994,113,99.589838
-4.2899985,229,99.778133
-3.0099995,101,100.59324
-2.6299999,63,101.286157
-1.8499987,185,101.949188
-8.550053,855,109.589637
-10.060135,1006,118.356243
-4.2199965,422,122.804062
-20.900337,1890,125.838679
-27.680582,3168,128.244472
1.2500002,75,129.154654
-5.8699956,587,141.026528
-7.800082,980,142.221043
-58.786476,5679,143.548049
-6.8200154,482,146.414983
-10.830107,883,156.421636
-5.179997,518,167.500417
-46.78849,4479,170.055586
