app,algo,persona,episode,ep_len,ep_return,timestamp_ms,apples_eaten,deaths,steps
snake,ppo,snake_explorer,0,11,-2.1100001335144043,1761458881939,0.0,1.0,1.0
snake,ppo,snake_explorer,0,16,-2.1600000858306885,1761458881989,0.0,1.0,1.0
snake,ppo,snake_explorer,0,75,-2.749999761581421,1761458882044,0.0,1.0,1.0
snake,ppo,snake_explorer,0,26,-2.259999990463257,1761458882072,0.0,1.0,1.0
snake,ppo,snake_explorer,0,93,1.070000410079956,1761458882148,0.0,1.0,1.0
snake,ppo,snake_explorer,0,26,-2.259999990463257,1761458882164,0.0,1.0,1.0
snake,ppo,snake_explorer,0,50,-2.5,1761458882279,0.0,1.0,1.0
snake,ppo,snake_explorer,0,36,-2.3600001335144043,1761458882344,0.0,1.0,1.0
snake,ppo,snake_explorer,0,16,-2.1600000858306885,1761458882477,0.0,1.0,1.0
snake,ppo,snake_explorer,0,52,-2.5199999809265137,1761458882501,0.0,1.0,1.0
snake,ppo,snake_explorer,0,11,-2.1100001335144043,1761458882569,0.0,1.0,1.0
snake,ppo,snake_explorer,0,293,-4.92999792098999,1761458882593,0.0,1.0,1.0
snake,ppo,snake_explorer,0,40,-2.4000000953674316,1761458882609,0.0,1.0,1.0
snake,ppo,snake_explorer,0,78,-2.7799997329711914,1761458882795,0.0,1.0,1.0
snake,ppo,snake_explorer,0,76,-2.7599997520446777,1761458882795,0.0,1.0,1.0
snake,ppo,snake_explorer,0,40,-2.4000000953674316,1761458882902,0.0,1.0,1.0
snake,ppo,snake_explorer,0,20,-2.200000047683716,1761458882959,0.0,1.0,1.0
snake,ppo,snake_explorer,0,62,-2.619999885559082,1761458883019,0.0,1.0,1.0
snake,ppo,snake_explorer,0,159,-3.589998960494995,1761458883067,0.0,1.0,1.0
snake,ppo,snake_explorer,0,37,-2.370000123977661,1761458883099,0.0,1.0,1.0
snake,ppo,snake_explorer,0,69,-2.68999981880188,1761458883164,0.0,1.0,1.0
snake,ppo,snake_explorer,0,29,-2.2900002002716064,1761458883196,0.0,1.0,1.0
snake,ppo,snake_explorer,0,21,-2.2100000381469727,1761458883243,0.0,1.0,1.0
snake,ppo,snake_explorer,0,10,-2.1000001430511475,1761458883329,0.0,1.0,1.0
snake,ppo,snake_explorer,0,9,-2.0900001525878906,1761458883405,0.0,1.0,1.0
snake,ppo,snake_explorer,0,106,-3.059999465942383,1761458883497,0.0,1.0,1.0
snake,ppo,snake_explorer,0,75,-2.749999761581421,1761458883531,0.0,1.0,1.0
snake,ppo,snake_explorer,0,198,-3.9799985885620117,1761458883649,0.0,1.0,1.0
snake,ppo,snake_explorer,0,79,-2.7899997234344482,1761458883685,0.0,1.0,1.0
snake,ppo,snake_explorer,0,37,-2.370000123977661,1761458883718,0.0,1.0,1.0
snake,ppo,snake_explorer,0,12,-2.120000123977661,1761458883784,0.0,1.0,1.0
snake,ppo,snake_explorer,0,16,-2.1600000858306885,1761458883784,0.0,1.0,1.0
snake,ppo,snake_explorer,0,73,-2.7299997806549072,1761458883815,0.0,1.0,1.0
snake,ppo,snake_explorer,0,19,-2.190000057220459,1761458883956,0.0,1.0,1.0
snake,ppo,snake_explorer,0,93,-0.9299992322921753,1761458883965,0.0,1.0,1.0
snake,ppo,snake_explorer,0,13,-2.130000114440918,1761458884009,0.0,1.0,1.0
snake,ppo,snake_explorer,0,56,-2.559999942779541,1761458884086,0.0,1.0,1.0
snake,ppo,snake_explorer,0,69,-2.68999981880188,1761458884173,0.0,1.0,1.0
snake,ppo,snake_explorer,0,10,-2.1000001430511475,1761458884186,0.0,1.0,1.0
snake,ppo,snake_explorer,0,43,-2.430000066757202,1761458884541,0.0,1.0,1.0
snake,ppo,snake_explorer,0,89,-2.8899996280670166,1761458884632,0.0,1.0,1.0
snake,ppo,snake_explorer,0,104,-3.039999485015869,1761458884755,0.0,1.0,1.0
snake,ppo,snake_explorer,0,31,-2.31000018119812,1761458884798,0.0,1.0,1.0
snake,ppo,snake_explorer,0,22,-2.2200000286102295,1761458884937,0.0,1.0,1.0
snake,ppo,snake_explorer,0,98,-2.979999542236328,1761458885007,0.0,1.0,1.0
snake,ppo,snake_explorer,0,50,-2.5,1761458885050,0.0,1.0,1.0
snake,ppo,snake_explorer,0,218,-4.179998397827148,1761458885099,0.0,1.0,1.0
snake,ppo,snake_explorer,0,16,-2.1600000858306885,1761458885138,0.0,1.0,1.0
snake,ppo,snake_explorer,0,13,-2.130000114440918,1761458885205,0.0,1.0,1.0
snake,ppo,snake_explorer,0,152,-3.5199990272521973,1761458885258,0.0,1.0,1.0
snake,ppo,snake_explorer,0,73,-2.7299997806549072,1761458885483,0.0,1.0,1.0
snake,ppo,snake_explorer,0,27,-2.2700002193450928,1761458885558,0.0,1.0,1.0
snake,ppo,snake_explorer,0,17,-2.1700000762939453,1761458885622,0.0,1.0,1.0
snake,ppo,snake_explorer,0,12,-2.120000123977661,1761458885654,0.0,1.0,1.0
snake,ppo,snake_explorer,0,224,-2.2399988174438477,1761458885924,0.0,1.0,1.0
snake,ppo,snake_explorer,0,17,-2.1700000762939453,1761458886067,0.0,1.0,1.0
snake,ppo,snake_explorer,0,102,-3.0199992656707764,1761458886134,0.0,1.0,1.0
snake,ppo,snake_explorer,0,135,-3.349999189376831,1761458886247,0.0,1.0,1.0
snake,ppo,snake_explorer,0,150,-1.499998927116394,1761458886263,0.0,1.0,1.0
snake,ppo,snake_explorer,0,75,-0.7499996423721313,1761458886280,0.0,1.0,1.0
snake,ppo,snake_explorer,0,287,-4.869997978210449,1761458886504,0.0,1.0,1.0
snake,ppo,snake_explorer,0,13,-2.130000114440918,1761458886612,0.0,1.0,1.0
snake,ppo,snake_explorer,0,57,-2.569999933242798,1761458886744,0.0,1.0,1.0
snake,ppo,snake_explorer,0,17,-2.1700000762939453,1761458886894,0.0,1.0,1.0
snake,ppo,snake_explorer,0,155,-3.5499989986419678,1761458886926,0.0,1.0,1.0
snake,ppo,snake_explorer,0,136,-3.359999179840088,1761458887216,0.0,1.0,1.0
snake,ppo,snake_explorer,0,42,-2.4200000762939453,1761458887249,0.0,1.0,1.0
snake,ppo,snake_explorer,0,115,-3.1499993801116943,1761458887259,0.0,1.0,1.0
snake,ppo,snake_explorer,0,141,-3.409999132156372,1761458887444,0.0,1.0,1.0
snake,ppo,snake_explorer,0,157,-1.569998860359192,1761458887461,0.0,1.0,1.0
snake,ppo,snake_explorer,0,32,-2.320000171661377,1761458887520,0.0,1.0,1.0
snake,ppo,snake_explorer,0,84,-2.8399996757507324,1761458887643,0.0,1.0,1.0
snake,ppo,snake_explorer,0,53,-2.5299999713897705,1761458887672,0.0,1.0,1.0
snake,ppo,snake_explorer,0,57,-2.569999933242798,1761458887749,0.0,1.0,1.0
snake,ppo,snake_explorer,0,27,-2.2700002193450928,1761458887873,0.0,1.0,1.0
snake,ppo,snake_explorer,0,17,-2.1700000762939453,1761458887892,0.0,1.0,1.0
snake,ppo,snake_explorer,0,69,-2.68999981880188,1761458888057,0.0,1.0,1.0
snake,ppo,snake_explorer,0,337,-5.369997501373291,1761458888066,0.0,1.0,1.0
