app,algo,persona,episode,ep_len,ep_return,timestamp_ms,ale_score,deaths,episode_ale_score,pellets,score_delta,steps,unique_tiles
pacman,ppo,pacman_explorer,0,355,112.05013275146484,1761455074252,112.050000000001,1.0,112.050000000001,1.0,120.0,355.0,1.0
pacman,ppo,pacman_explorer,0,419,136.08970642089844,1761455074517,136.09000000000054,1.0,136.09000000000054,1.0,140.0,419.0,1.0
pacman,ppo,pacman_explorer,0,485,193.74859619140625,1761455074934,193.74999999999872,1.0,193.74999999999872,1.0,190.0,485.0,1.0
pacman,ppo,pacman_explorer,0,391,223.60894775390625,1761455076237,223.6099999999991,1.0,223.6099999999991,1.0,220.0,391.0,1.0
pacman,ppo,pacman_explorer,0,409,179.7397003173828,1761455078236,179.7400000000003,1.0,179.7400000000003,1.0,180.0,409.0,1.0
pacman,ppo,pacman_explorer,0,717,505.7213134765625,1761455078749,505.71999999999764,1.0,505.71999999999764,1.0,470.0,717.0,1.0
pacman,ppo,pacman_explorer,0,709,331.6391906738281,1761455078793,331.6399999999991,1.0,331.6399999999991,1.0,310.0,709.0,1.0
pacman,ppo,pacman_explorer,0,509,360.23919677734375,1761455078841,360.2399999999986,1.0,360.2399999999986,1.0,340.0,509.0,1.0
pacman,ppo,pacman_explorer,0,697,384.4719543457031,1761455079360,384.4699999999979,1.0,384.4699999999979,1.0,360.0,697.0,1.0
pacman,ppo,pacman_explorer,0,549,361.0904846191406,1761455079920,361.08999999999827,1.0,361.08999999999827,1.0,340.0,549.0,1.0
pacman,ppo,pacman_explorer,0,461,258.9093933105469,1761455080946,258.90999999999923,1.0,258.90999999999923,1.0,250.0,461.0,1.0
pacman,ppo,pacman_explorer,0,735,397.4002380371094,1761455082247,397.399999999998,1.0,397.399999999998,1.0,370.0,735.0,1.0
pacman,ppo,pacman_explorer,0,521,304.5093078613281,1761455083427,304.5099999999985,1.0,304.5099999999985,1.0,290.0,521.0,1.0
pacman,ppo,pacman_explorer,0,491,282.3594055175781,1761455083688,282.3599999999997,1.0,282.3599999999997,1.0,270.0,491.0,1.0
pacman,ppo,pacman_explorer,0,503,216.4788360595703,1761455083821,216.47999999999936,1.0,216.47999999999936,1.0,210.0,503.0,1.0
pacman,ppo,pacman_explorer,0,519,260.38946533203125,1761455083921,260.38999999999885,1.0,260.38999999999885,1.0,250.0,519.0,1.0
pacman,ppo,pacman_explorer,0,491,258.81011962890625,1761455084207,258.80999999999955,1.0,258.80999999999955,1.0,250.0,491.0,1.0
pacman,ppo,pacman_explorer,0,497,292.3201904296875,1761455084785,292.31999999999937,1.0,292.31999999999937,1.0,280.0,497.0,1.0
pacman,ppo,pacman_explorer,0,509,271.3894958496094,1761455085863,271.38999999999896,1.0,271.38999999999896,1.0,260.0,509.0,1.0
pacman,ppo,pacman_explorer,0,469,269.3392028808594,1761455086796,269.3399999999983,1.0,269.3399999999983,1.0,260.0,469.0,1.0
pacman,ppo,pacman_explorer,0,417,224.71926879882812,1761455093133,224.71999999999971,1.0,224.71999999999971,1.0,220.0,417.0,1.0
pacman,ppo,pacman_explorer,0,397,223.56973266601562,1761455093424,223.57000000000036,1.0,223.57000000000036,1.0,220.0,397.0,1.0
pacman,ppo,pacman_explorer,0,465,215.64877319335938,1761455094383,215.64999999999893,1.0,215.64999999999893,1.0,210.0,465.0,1.0
pacman,ppo,pacman_explorer,0,511,281.85980224609375,1761455095363,281.8599999999988,1.0,281.8599999999988,1.0,270.0,511.0,1.0
pacman,ppo,pacman_explorer,0,795,1044.45458984375,1761455096932,1044.449999999985,1.0,1044.449999999985,1.0,1010.0,795.0,1.0
pacman,ppo,pacman_explorer,0,479,302.7903137207031,1761455097594,302.7899999999985,1.0,302.7899999999985,1.0,290.0,479.0,1.0
pacman,ppo,pacman_explorer,0,571,185.35821533203125,1761455097803,185.3599999999984,1.0,185.3599999999984,1.0,180.0,571.0,1.0
pacman,ppo,pacman_explorer,0,665,392.80126953125,1761455097841,392.79999999999757,1.0,392.79999999999757,1.0,370.0,665.0,1.0
pacman,ppo,pacman_explorer,0,535,327.7998352050781,1761455099383,327.79999999999933,1.0,327.79999999999933,1.0,310.0,535.0,1.0
pacman,ppo,pacman_explorer,0,645,393.8997497558594,1761455099507,393.8999999999982,1.0,393.8999999999982,1.0,370.0,645.0,1.0
pacman,ppo,pacman_explorer,0,401,201.1596221923828,1761455100680,201.16000000000025,1.0,201.16000000000025,1.0,200.0,401.0,1.0
pacman,ppo,pacman_explorer,0,1199,3864.656005859375,1761455100851,3864.6400000000735,1.0,3864.6400000000735,1.0,3800.0,1199.0,1.0
pacman,ppo,pacman_explorer,0,513,183.97889709472656,1761455102841,183.97999999999945,1.0,183.97999999999945,1.0,180.0,513.0,1.0
pacman,ppo,pacman_explorer,0,791,676.5609130859375,1761455102981,676.5599999999943,1.0,676.5599999999943,1.0,640.0,791.0,1.0
pacman,ppo,pacman_explorer,0,677,986.9218139648438,1761455104270,986.9199999999893,1.0,986.9199999999893,1.0,960.0,677.0,1.0
pacman,ppo,pacman_explorer,0,837,966.722900390625,1761455106068,966.7199999999866,1.0,966.7199999999866,1.0,940.0,837.0,1.0
pacman,ppo,pacman_explorer,0,699,350.9912414550781,1761455106401,350.9899999999987,1.0,350.9899999999987,1.0,330.0,699.0,1.0
pacman,ppo,pacman_explorer,0,719,608.7411499023438,1761455106484,608.7399999999898,1.0,608.7399999999898,1.0,580.0,719.0,1.0
pacman,ppo,pacman_explorer,0,717,340.6706848144531,1761455107927,340.66999999999763,1.0,340.66999999999763,1.0,320.0,717.0,1.0
pacman,ppo,pacman_explorer,0,521,293.3602294921875,1761455108199,293.35999999999837,1.0,293.35999999999837,1.0,280.0,521.0,1.0
pacman,ppo,pacman_explorer,0,787,543.8218383789062,1761455108789,543.819999999992,1.0,543.819999999992,1.0,520.0,787.0,1.0
pacman,ppo,pacman_explorer,0,695,340.1522216796875,1761455111177,340.14999999999776,1.0,340.14999999999776,1.0,320.0,695.0,1.0
pacman,ppo,pacman_explorer,0,549,163.0382080078125,1761455111548,163.03999999999837,1.0,163.03999999999837,1.0,160.0,549.0,1.0
pacman,ppo,pacman_explorer,0,541,272.65924072265625,1761455111825,272.6599999999993,1.0,272.6599999999993,1.0,260.0,541.0,1.0
